count_session,count_hit,totals_newVisits,geoNetwork_latitude,geoNetwork_longitude,historic_session,historic_session_page,avg_session_time,avg_session_time_page,single_page_rate,sessionQualityDim,visitId_threshold,earliest_visit_number,avg_visit_time,days_since_first_visit,visits_per_day,bounce_rate,num_interactions,bounces,time_on_site,transactionRevenue,has_converted
13,1918,0,24.4539,54.3773,16226,0,1248.1538461538462,0.0,1.0,41,1617002613,75,13,30,61.87096774193548,0.0,6940,0,125543,3634396189,1
37,2756,0,25.2048,55.2708,16196,0,437.72972972972974,0.0,1.0,2,1617093920,5,14,30,88.90322580645162,0.0,8159,0,25634,211450224,1
2,225,0,25.4052,55.5136,111,0,55.5,0.0,1.0,2,1615973822,99,9,1,112.5,0.0,2112,0,243,22529574,1
11,1685,0,24.1302,55.8023,4700,1338,427.27272727272725,121.63636363636364,0.909090909090909,10,1616682175,73,12,10,153.1818181818182,0.0,2890,0,4017,110755659,0
1,63,0,25.2048,55.2708,47,0,47.0,0.0,1.0,2,1616869634,2,18,0,63.0,0.0,696,0,0,173740811,1
3,31,0,25.2048,55.2708,884,862,294.6666666666667,287.3333333333333,0.3333333333333333,3,1616329129,7,8,1,80.5,0.25,161,0,576,0,0
12,438,0,0.0,0.0,2491,0,207.58333333333337,0.0,1.0,4,1617268381,105,11,28,15.103448275862068,0.0,1863,0,424,0,0
2,112,0,0.0,0.0,163,0,81.5,0.0,1.0,2,1617016493,13,13,24,4.48,0.0,6533,0,146422,344808048,0
10,223,0,25.2048,55.2708,386,0,38.6,0.0,1.0,4,1617207316,24,12,28,7.689655172413792,0.0,1183,0,3586,77266834,1
4,557,0,25.2048,55.2708,1895,1703,473.75,425.75,0.75,44,1617094135,178,9,27,19.892857142857142,0.0,6980,0,936,165030606,1
25,6859,0,24.1302,55.8023,9308,0,372.32,0.0,1.0,3,1617279819,54,14,30,221.25806451612905,0.0,24451,0,406,403578285,1
6,1222,0,25.3463,55.4209,3428,1163,571.3333333333334,193.83333333333337,0.8333333333333333,41,1616727026,32,9,29,40.733333333333334,0.0,2196,0,169,0,0
10,1017,0,24.4539,54.3773,7320,3294,732.0,329.4,0.9,16,1615998936,9,13,27,36.32142857142857,0.0,1017,0,384,0,0
9,1099,0,25.2048,55.2708,4551,4358,505.66666666666674,484.22222222222223,0.7777777777777777,2,1616914765,1,7,20,52.333333333333336,0.0,6608,0,32462,4026824706,1
9,341,0,25.2048,55.2708,765,0,85.0,0.0,1.0,24,1616261266,31,18,30,11.0,0.0,423,0,1560,0,0
1,85,1,25.2048,55.2708,4280,4280,4280.0,4280.0,0.0,41,1617012994,1,10,0,425.0,0.0,425,0,51900,0,0
22,3636,0,25.2048,55.2708,7707,0,350.3181818181818,0.0,1.0,3,1617306854,213,11,29,121.2,0.0,11442,0,460,38374637,1
20,2882,0,25.2048,55.2708,4370,0,218.5,0.0,1.0,11,1617083907,9,7,28,99.37931034482759,0.0,8191,0,186,99483245,1
5,178,0,24.4539,54.3773,3213,2583,642.6,516.6,0.6,4,1617087056,5,9,29,13.133333333333333,0.0,907,0,6392,93341808,0
5,1227,0,24.4539,54.3773,2371,0,474.2,0.0,1.0,11,1616493395,46,11,25,47.19230769230769,0.0,12417,0,15580,0,0
41,3004,0,25.2048,55.2708,11769,2386,287.0487804878049,58.19512195121951,0.975609756097561,6,1616958687,194,13,29,100.13333333333334,0.0,4030,0,277719,0,0
1,105,0,24.4539,54.3773,636,0,636.0,0.0,1.0,16,1615776770,42,3,0,105.0,0.0,665,0,21021,0,0
12,2310,0,25.2048,55.2708,3467,0,288.9166666666667,0.0,1.0,3,1616644205,3,8,30,74.51612903225806,0.0,7373,0,1434,318847319,1
20,3349,0,25.4052,55.5136,3647,0,182.35,0.0,1.0,2,1616879809,44,15,30,108.03225806451611,0.0,25886,0,5238,546045192,1
27,4061,0,25.2048,55.2708,10626,1317,393.55555555555554,48.77777777777778,0.9629629629629628,24,1617110665,162,14,27,145.03571428571428,0.0,11136,0,17025,0,0
5,438,0,25.2048,55.2708,2430,0,486.0,0.0,1.0,8,1616673295,13,9,14,29.2,0.0,1589,0,211,0,0
1,99,0,25.2048,55.2708,2803,2803,2803.0,2803.0,0.0,56,1617090306,52,8,0,335.0,0.0,394,0,0,29948271,1
19,2537,0,24.4539,54.3773,11337,3522,596.6842105263158,185.3684210526316,0.894736842105263,10,1617269387,96,15,29,84.56666666666666,0.0,10073,0,3048,86795682,0
26,3461,0,25.2048,55.2708,3318,0,127.6153846153846,0.0,1.0,3,1617207213,4,12,29,115.36666666666666,0.0,10499,0,5409,0,0
8,1247,0,25.2048,55.2708,739,0,92.375,0.0,1.0,2,1617236507,46,17,30,40.225806451612904,0.0,9220,0,1263,35897473,1
